19
#n 154 byc czesc czy domagac i jaka katastrofa ktory miedzynarodowy ojciec on polsce sie wies wtedy zab zamkniecie zwrot
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 nalega
0.0 0.6 0.8 0.0 0.4 1.0 0.2 1.0 0.6 0.0 0.2 0.8 0.0 0.2 0.0 0.0 0.0 0.0 0.0 ofiary
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 pancerny
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 pilot
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 pogoda
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 prezydent
0.0 0.5 0.3333333333333333 0.6666666666666666 0.0 0.5833333333333334 0.16666666666666666 0.0 1.0 0.3333333333333333 0.5 0.3333333333333333 0.0 0.4166666666666667 0.0 0.25 0.08333333333333333 0.3333333333333333 0.0 prokuratura
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 przyczyny
0.14285714285714285 0.7142857142857143 0.0 0.0 0.0 0.8571428571428571 0.5714285714285714 0.0 0.0 0.0 0.7142857142857143 0.0 0.42857142857142855 0.0 1.0 0.0 0.0 0.0 0.5714285714285714 rosja
0.0 1.0 0.0 0.2222222222222222 0.0 0.6666666666666666 0.1111111111111111 0.0 0.0 0.0 0.2222222222222222 0.5555555555555556 0.0 0.4444444444444444 0.0 0.4444444444444444 0.6666666666666666 0.4444444444444444 0.0 rosyjski
0.0 0.0 0.0 1.0 0.0 0.0 0.375 0.75 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 samolot
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 sekcja
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 skrzydlo
0.2222222222222222 0.1111111111111111 0.0 0.0 0.3333333333333333 1.0 0.4444444444444444 0.0 0.0 0.0 0.1111111111111111 0.0 0.2222222222222222 0.6666666666666666 0.4444444444444444 0.0 0.3333333333333333 0.0 0.6666666666666666 skrzynka
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 slad
0.0 1.0 0.0 0.1111111111111111 0.0 0.05555555555555555 0.0 0.0 0.05555555555555555 0.4444444444444444 0.0 0.4444444444444444 0.0 0.0 0.16666666666666666 0.0 0.0 0.2222222222222222 0.0 sledztwo
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 spis
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 stenogram
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 strzal
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 swiadek
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 trotyl
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 tupolew
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 wieza
0.3076923076923077 0.3076923076923077 0.0 0.0 0.07692307692307693 1.0 0.0 0.0 0.0 0.0 0.3076923076923077 0.0 0.0 0.23076923076923078 0.3076923076923077 0.3076923076923077 0.38461538461538464 0.07692307692307693 0.5384615384615384 wrak
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 wybuch
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 zamach
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 zaniedbanie
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 zbrodnia
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 zdrada
